success_rate,avg_backers,year
0,0,1970
43.56659142,32.9255079,2009
43.66384637,38.68000761,2010
46.38868773,53.22533064,2011
43.46410786,105.5213409,2012
43.28777508,140.2993913,2013
31.15654292,91.4396044,2014
27.12936611,97.18056921,2015
32.81687185,125.0105624,2016
35.36781609,127.4590038,2017
0,9.362903226,2018
